importance,features
0.12126321399192239,SCI_TRUST-Medium
0.09515079305018052,SCI_BENEFITS-Enthusiast
0.09035356167831572,SCI_BENEFITS-Excluded
0.08649181585124577,GDI
0.05406668008328298,stemt
0.05269111023837051,SCI_TRUST-High
0.05203337451310843,unemployment
0.04999760675922231,Christians
0.04832188498482584,SCI_BENEFITS-Included
0.04427569259007485,SCI_TRUST-Low
0.029242079206618202,SCI_JOBS-Decrease
0.02712742069410999,SCI_JOBS-Neither
0.02630481994459261,Muslims
0.025484978278854417,SCI_JOBS-Increase
0.025048980960111863,SCI_BENEFITS-Sceptic
0.023016801057901385,GSNI_pol
0.022856245688613414,GINI
0.016917435531913876,GSNI_edu
0.016831532811220656,Unaffiliated
0.012174098218584702,GII
0.012059989856408437,GSNI_eco
0.009937585053404233,GDPPC
0.00974465282961146,GSNI2
0.00973211421105868,GSNI0
0.009622209156876445,GSNI_phi
0.009014593120813758,IHDI
0.007858323172878282,GSNI1
0.0068296499559011205,HDI
0.005550756509977149,FHDI
