importance,features
0.12256629727511945,Unaffiliated
0.11740421901231579,SCI_JOBS-Decrease
0.09789486307649606,GSNI_phi
0.0729544692383615,GSNI0
0.07159915641814746,stemt
0.05877692996376784,GSNI1
0.05204379370700292,GSNI_pol
0.04897697735945582,FHDI
0.047658811806281835,GSNI_edu
0.03831951368213304,GSNI2
0.03020730310684193,GII
0.029540319863440537,Christians
0.021158374347730106,IHDI
0.01794321951708128,GDI
0.01675003122107991,HDI
0.014960800374991885,SCI_TRUST-Medium
0.01448034690351808,GDPPC
0.014058764249331637,SCI_JOBS-Neither
0.013261044669269102,SCI_BENEFITS-Excluded
0.013115441930609609,SCI_JOBS-Increase
0.01289590905421927,SCI_BENEFITS-Included
0.011657400791297328,SCI_BENEFITS-Enthusiast
0.011366436662411591,unemployment
0.011263704762619007,Muslims
0.009376502271825854,SCI_TRUST-Low
0.008622584164004481,SCI_BENEFITS-Sceptic
0.008050225574299897,GINI
0.006728316141190731,GSNI_eco
0.0063682428551561435,SCI_TRUST-High
