importance,features
0.11933539312977866,SCI_BENEFITS-Enthusiast
0.09240376034127999,stemt
0.08879279377210075,SCI_BENEFITS-Excluded
0.08829057803533712,GDI
0.07951533923152793,unemployment
0.05779547527415474,SCI_TRUST-Medium
0.041969672161619356,GII
0.03773279499053416,Christians
0.030871955647401365,GINI
0.030596171074320493,SCI_TRUST-High
0.030186065138457552,Unaffiliated
0.02856103365731009,SCI_BENEFITS-Sceptic
0.027795696137752422,Muslims
0.027780344067072717,SCI_TRUST-Low
0.024765128087789287,GSNI_pol
0.02357540014712721,SCI_BENEFITS-Included
0.019071076111534784,SCI_JOBS-Decrease
0.01863421501177531,IHDI
0.0178440552973079,GSNI_eco
0.01484556854071307,FHDI
0.014457728556633744,SCI_JOBS-Neither
0.014445074358759961,GSNI_edu
0.01195826689725173,HDI
0.01058722442553427,GSNI0
0.010076162003154166,SCI_JOBS-Increase
0.010062459639501229,GDPPC
0.009674719187366496,GSNI2
0.009526266491934549,GSNI1
0.008849582584969005,GSNI_phi
