Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Albania,ALB,..,46.09375,..,..,..,49.20728,46.77419,46.48218,43.7069,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Algeria,DZA,48.80532,47.97473,..,..,..,51.76786,54.27659,..,48.93372,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Andorra,AND,..,..,33.33333,..,..,..,100,100,0,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Angola,AGO,..,..,..,..,..,37.95987,..,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Antigua and Barbuda,ATG,70.58824,73.33333,33.33333,..,..,..,..,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Arab World,ARB,..,..,..,..,..,..,..,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Argentina,ARG,33.04348,..,..,..,..,..,..,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Armenia,ARM,35.86066,..,..,..,..,25.14045,28.97436,30.58824,38.47167,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Australia,AUS,..,19.10183,..,19.35603,19.07006,19.14908,..,21.75496,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Austria,AUT,..,..,..,13.1535,14.06318,13.6543,14.29883,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Azerbaijan,AZE,38.35616,37.66667,36.81592,..,..,35.34816,41.11718,46.81107,45.96774,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Bahrain,BHR,..,..,..,..,..,48.88889,50.6812,47.76119,47.13805,..,..
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)",UIS.FGP.5T8.F600,Bangladesh,BGD,..,..,..,..,..,..,27.76188,27.76188,27.25023,..,..
