Country,Code,STEM,SCI_MATH,ENG,ICT,GDPPC,GINI,HDI,IHDI,GDI,FHDI,GII,stemt,GSNI1,GSNI2,GSNI0,GSNI_pol,GSNI_eco,GSNI_edu,GSNI_phi,SCI_BENEFITS-Enthusiast,SCI_BENEFITS-Excluded,SCI_BENEFITS-Included,SCI_BENEFITS-Sceptic,SCI_JOBS-Decrease,SCI_JOBS-Increase,SCI_JOBS-Neither,SCI_TRUST-High,SCI_TRUST-Low,SCI_TRUST-Medium,unemployment,Christians,Muslims,Unaffiliated
Albania,ALB,46.65349,69.87136,38.29528,43.7069,5353.2448564014,33.2,0.795,0.708,0.9668253716934854,0.780396712670255,0.181,18.82147,,,,,,,,15.033261164153982,20.06924785941165,23.868310915237632,32.23023489688325,40.17859989414067,47.66558650627928,5.917901364219268,10.207995039923391,39.159063059922985,46.23448825710164,14.234545447609635,18.0,80.3,1.4
Algeria,DZA,58.1698,83.0561,48.46417,48.93372,3973.96407191565,27.6,0.748,0.596,0.8583254728464075,0.6711642685049611,0.429,34.23498,97.83,87.0,2.17,80.08,74.08,37.17,86.75,10.185744704373958,20.871809631717667,33.20655313611325,11.004831270300343,26.993774426558137,46.62789018469773,11.593773323601955,4.707915141220036,27.8274642148551,49.12367028845918,10.987272782759241,0.0,97.9,1.8
Angola,AGO,38.41584,66.27566,22.39583,37.95987,2790.72661520665,51.3,0.581,0.397,0.9029466186297173,0.5517554932674117,0.536,12.01046,,,,,,,,,,,,,,,,,,7.458181814713911,90.5,0.0,5.1
Armenia,ARM,39.81053,60.52481,22.39763,38.47167,4622.73349328671,34.4,0.776,0.699,0.9820915997742171,0.7661304804028459,0.245,17.14432,94.11,81.28,5.89,72.82,75.91,24.89,66.14,19.62735629959511,18.803458458814095,20.882216388152127,21.431366540785117,22.480974016994324,58.19363978016666,6.540662154859541,5.908434024975762,24.63287316735887,53.77439160852302,18.182727120139383,98.5,0.0,1.3
Australia,AUS,32.07578,51.28372,23.23094,21.75496,55060.3261005013,34.4,0.944,0.867,0.9762035605125557,0.9318109561617719,0.097,17.39795,46.24,23.0,53.76,32.48,18.06,4.09,20.93,49.99210908721721,7.407475006747263,34.578379752752326,5.7853349435450525,37.67096799174448,46.132448372076546,5.446142283250313,33.45230193002987,7.501134202150989,58.17061563545882,5.6063636432994475,67.3,2.4,24.2
Austria,AUT,25.9026,49.59479,21.54307,14.29883,50137.6627762476,29.7,0.922,0.857,0.963932404178508,0.9027274536729487,0.069,31.03226,,,,,,,,39.4039220314475,9.808108491610898,36.79357294801523,5.689337079987737,37.031727186009846,42.77625618949371,10.911134190461665,21.715184204762668,8.569063156301267,67.96875943792232,5.231818155808882,80.4,5.4,13.5
Azerbaijan,AZE,35.09903,65.33787,26.56063,45.96774,4793.58701966989,26.6,0.756,0.684,0.9427321413710316,0.7296549712857238,0.323,25.90974,99.14,93.82,0.86,85.13,91.97,30.9,72.16,28.123759863903906,16.402847641887693,26.96625072010782,7.82814956616064,26.3593537007175,37.28441609967858,20.83472616612964,18.46212827661087,10.891033103819103,61.26760202610999,5.190000013871626,3.0,96.9,0.0
Bahrain,BHR,41.21339,87.09677,30.56537,47.13805,23503.977126673,,0.852,,0.9217169324821973,0.805511835617748,0.212,15.59017,,,,,,,,,,,,,,,,,,1.5727272900668063,14.5,70.3,1.9
Bangladesh,BGD,20.55313,14.91946,46.05475,27.25023,1855.73982408046,32.4,0.632,0.478,0.9040424485079425,0.5962269703497778,0.537,11.14589,,,,,,,,35.33238217914379,6.116383497383237,47.790707476460845,4.31031792534805,5.03173916360564,84.32238799390292,2.0246226209614258,21.63259149467849,8.147296877352787,62.565273841343064,4.261818148873069,0.0,90.4,0.0
Barbados,BRB,40.50279,46.25,9.09091,40.54054,18148.2449264001,,0.814,0.676,1.008056712575181,0.8157027221264797,0.252,,,,,,,,,,,,,,,,,,,11.000909111716522,95.2,0.0,1.9
